Data
$0.86,$0.86 / 1EA,Cavendish Bananas Each,Add to cart,Save to list
$0.94,$0.94 / 1EA,Fresh Tomato Each,Add to cart,Save to list
$2.30,$2.30 / 1EA,Avocado Shepard Each,Add to cart,Save to list
$1.03,$1.03 / 1EA,Fresh Pink Lady Apples Each,Add to cart,Save to list
$0.85,$0.85 / 1EA,Potato White Washed Each,Add to cart,Save to list
$0.59,$0.59 / 1EA,Onion Brown Each,Add to cart,Save to list
$0.88,$0.88 / 1EA,Apple Royal Gala Each,Add to cart,Save to list
$1.42,$1.42 / 1EA,Lebanese Cucumbers Each,Add to cart,Save to list
$2.23,$2.23 / 1EA,Red Capsicum Each,Add to cart,Save to list
$1.82,$1.82 / 1EA,Fresh Broccoli Each,Add to cart,Save to list
$4.90,$19.60 / 1KG,Strawberries 250g Punnet,Add to cart,Save to list
$0.35,$0.35 / 1EA,Carrot Fresh Each,Add to cart,Save to list
$1.56,$1.56 / 1EA,Sweet Potato Gold Each,Add to cart,Save to list
$0.78,$0.78 / 1EA,Green Zucchini Each,Add to cart,Save to list
$0.79,$0.79 / 1EA,Fresh Granny Smith Apples Each,Add to cart,Save to list
$1.19,$1.19 / 1EA,Truss Tomatoes Each,Add to cart,Save to list
$0.86,$0.86 / 1EA,Onion Red Each,Add to cart,Save to list
$3.00,$12.00 / 1KG,Woolworths Cherry Tomatoes Punnet 250g,Add to cart,Save to list
$3.60,$3.60 / 1EA,White Seedless Grapes Bag Approx. 900g each,Add to cart,Save to list
$2.90,$2.90 / 1EA,Woolworths Continental Cucumbers Each,Add to cart,Save to list
$4.50,$4.50 / 1EA,Iceberg Lettuce Each,Add to cart,Save to list
$0.47,$0.47 / 1EA,Plum Black Each,Add to cart,Save to list
$2.14,$2.14 / 1EA,Orange Navel Each,Add to cart,Save to list
IN-STORE ONLY,Blueberries Punnet 125g,View similar,products,             to Blueberries Punnet 125g,Save to list
$1.38,$1.38 / 1EA,Lemon Fresh Each,Add to cart,Save to list
$3.50,$14.00 / 1KG,Woolworths Qukes Baby Cucumbers Punnet 250g,Add to cart,Save to list
$0.70,$0.70 / 1EA,Fresh William Bartlett Pear Each,Add to cart,Save to list
IN-STORE ONLY,Woolworths Baby Leaf Spinach 120g,View similar,products,             to Woolworths Baby Leaf Spinach 120g,Save to list
$4.50,$36.00 / 1KG,Raspberries Punnet 125g,Add to cart,Save to list
$2.30,$2.30 / 1EA,Woolworths Broccolini Bunch Each,Add to cart,Save to list
$2.80,$2.80 / 1EA,Spring Onion Eschallot Bunch,Add to cart,Save to list
$3.20,$1.60 / 1EA,Woolworths Cos Hearts Lettuce 2 Pack,Add to cart,Save to list
$3.60,$3.60 / 1KG,Woolworths Onion Brown Bag 1kg,Add to cart,Save to list
SAVE $1.00,$11.50,$12.50 - $11.50 / 1KG,Mushrooms Cups Loose Per Kg,Add to cart,Save to list
$0.95,$0.95 / 1EA,Kiwi Fruit Green Each,Add to cart,Save to list
$7.70,$7.70 / 1EA,Woolworths Red Watermelon Cut Quarter Each,Add to cart,Save to list
$1.88,$1.88 / 1EA,Garlic Head Each,Add to cart,Save to list
$1.20,$1.20 / 1EA,Corn Sweet Each,Add to cart,Save to list
$2.23,$2.23 / 1EA,Capsicum Green Each,Add to cart,Save to list
$5.50,$2.75 / 1KG,Woolworths Washed Potatoes Bag 2kg,Add to cart,Save to list
EVERYDAY LOW PRICE,$2.00,$10.00 / 1KG,Woolworths Lettuce Iceberg Shredded Lettuce 200g,Add to cart,Save to list
$0.85,$0.85 / 1EA,Potato Red Washed Each,Add to cart,Save to list
$1.25,$1.25 / 1EA,Lime Fresh Each,Add to cart,Save to list
$2.30,$2.30 / 1EA,The Odd Bunch Continental Cucumber Each,Add to cart,Save to list
$5.90,$5.90 / 1KG,Woolworths Fresh Pink Lady Apples Punnet 1kg,Add to cart,Save to list
$0.47,$0.47 / 1EA,Plum Red Each,Add to cart,Save to list
$3.50,$3.50 / 1EA,Bananas Kids 5 Pack,Add to cart,Save to list
$2.40,$2.40 / 1KG,Woolworths Australian Grown Carrots 1Kg,Add to cart,Save to list
$0.59,$0.59 / 1EA,Orange Valencia Each,Add to cart,Save to list
$0.98,$0.98 / 1EA,Potato Brushed Each,Add to cart,Save to list
$6.90,$1.38 / 1EA,Avocado Fresh 5 Pack,Add to cart,Save to list
$4.00,$4.00 / 1EA,Celery Fresh Bunch,Add to cart,Save to list
$4.50,$4.50 / 1EA,Red Seedless Grapes Bag Approx. 900g each,Add to cart,Save to list
IN-STORE ONLY,Woolworths Baby Spinach Spinach 280g,View similar,products,             to Woolworths Baby Spinach Spinach 280g,Save to list
$2.40,$1.60 / 1KG,The Odd Bunch Carrots 1.5kg,Add to cart,Save to list
$1.17,$1.17 / 1EA,Macro Organic Banana Each,Add to cart,Save to list
IN-STORE ONLY,Ginger Fresh Per Kg,View similar,products,             to Ginger Fresh Per Kg,Save to list
$4.50,$4.50 / 1KG,Woolworths White Washed Baby Potatoes Bag 1kg,Add to cart,Save to list
$0.86,$0.86 / 1EA,Kanzi Apple Each,Add to cart,Save to list
$0.65,$0.65 / 1EA,Onion Shallot French Each,Add to cart,Save to list
$1.11,$1.11 / 1EA,Mandarin Afourer Each,Add to cart,Save to list
$4.00,$20.00 / 1KG,Woolworths White Cup Sliced Mushroom Punnet 200g,Add to cart,Save to list
$1.21,$1.21 / 1EA,Jazz Apple Each,Add to cart,Save to list
$2.45,$2.45 / 1EA,Fresh Cauliflower Half Each,Add to cart,Save to list
$5.50,$44.00 / 1KG,Blackberries Punnet 125g,Add to cart,Save to list
$3.50,$14.00 / 1KG,Mini-Roma Tomato 250g Punnet,Add to cart,Save to list
$5.50,$5.50 / 1KG,Woolworths Royal Gala Apple 1kg Punnet,Add to cart,Save to list
$3.20,$3.20 / 1EA,Woolworths Fresh Continental Parsley Bunch,Add to cart,Save to list
$6.90,$6.90 / 1KG,Beans Round Per Kg,Add to cart,Save to list
$1.16,$1.16 / 1EA,Mandarin Tangold Seedless Each,Add to cart,Save to list
$6.00,$4.00 / 1KG,Spud Lite Prepack Potato 1.5kg,Add to cart,Save to list
$3.60,$3.60 / 1KG,The Odd Bunch Apples Prepacked Punnet 1kg,Add to cart,Save to list
$0.60,$0.60 / 1EA,Woolworths Red Cayenne Chilli (Medium) Each,Add to cart,Save to list
$4.50,$4.50 / 1KG,Woolworths Fresh Granny Smith Apples Punnet 1kg,Add to cart,Save to list
$5.90,$11.80 / 1KG,The Odd Bunch Strawberries Punnet 500g,Add to cart,Save to list
$2.30,$3.07 / 1KG,The Odd Bunch Zucchini Prepacked 750g,Add to cart,Save to list
$2.90,$2.90 / 1EA,Leek Fresh Each,Add to cart,Save to list
$1.80,$3.60 / 1KG,Woolworths Baby Carrots 500g,Add to cart,Save to list
$3.00,$3.00 / 1KG,Woolworths Red Onions 1kg Bag,Add to cart,Save to list
$4.50,$15.00 / 1KG,Woolworths Celery Sticks 300g Punnet,Add to cart,Save to list
$7.00,$14.00 / 1KG,Woolworths Mushroom Sliced 500g,Add to cart,Save to list
IN-STORE ONLY,Woolworths Baby Leaf Rocket 120g,View similar,products,             to Woolworths Baby Leaf Rocket 120g,Save to list
$3.20,$3.20 / 1EA,Woolworths Green Basil Bunch,Add to cart,Save to list
$3.00,$15.00 / 1KG,Woolworths Leafy Mix Salad 200g,Add to cart,Save to list
