Product Name,Price,Price per Unit
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Pink Lady Apples Each,$0.79,$0.79 / 1EA
Fresh Tomato Each,$0.76,$0.76 / 1EA
Hass Avocado Each,$2.20,$2.20 / 1EA
Strawberries 250g Punnet,$3.00,$12.00 / 1KG
Potato White Washed Each,$0.85,$0.85 / 1EA
Onion Brown Each,$0.59,$0.59 / 1EA
Red Capsicum Each,$2.48,$2.48 / 1EA
Lebanese Cucumbers Each,$0.88,$0.88 / 1EA
Eat Later Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Broccoli Each,$1.95,$1.95 / 1EA
Blueberries 170g punnet,$4.00,$23.53 / 1KG
Orange Navel Each,$1.29,$1.29 / 1EA
Truss Tomatoes Each,$0.55,$0.55 / 1EA
Green Zucchini Each,$0.98,$0.98 / 1EA
Carrot Fresh Each,$0.35,$0.35 / 1EA
Apple Royal Gala Each,$0.88,$0.88 / 1EA
Fresh Granny Smith Apples Each,$0.86,$0.86 / 1EA
Onion Red Each,$0.83,$0.83 / 1EA
Sweet Potato Gold Each,$2.21,$2.21 / 1EA
Fresh Packham Pear Each,$1.71,$1.71 / 1EA
Woolworths Broccolini Bunch Each,$2.50,$2.50 / 1EA
Mandarin Afourer Each,$0.59,$0.59 / 1EA
Woolworths Qukes Baby Cucumbers Punnet 250g,$3.00,$12.00 / 1KG
Zespri SunGold Kiwifruit Each,$1.29,$1.29 / 1EA
Lime Fresh Each,$1.97,$1.97 / 1EA
Lemon Fresh Each,$1.31,$1.31 / 1EA
Eat Now Hass Avocado Each,$2.50,$2.50 / 1EA
$20.83 / 1KG,PRICES DROPPED,$2.50
Woolworths Onion Brown Bag 1kg,$3.00,$3.00 / 1KG
Spring Onion Eschallot Bunch,$2.80,$2.80 / 1EA
Mushrooms Cups Loose Per Kg,$12.50,$12.50 / 1KG
View similar,IN-STORE ONLY,The Odd Bunch Continental Cucumber Each
Garlic Head Each,$1.65,$1.65 / 1EA
Woolworths Kiwi Fruit Green Each,$1.34,$1.34 / 1EA
Woolworths Sweet Solanato Tomato Punnet Punnet 200g,$3.00,$15.00 / 1KG
Woolworths Cos Hearts Lettuce 2 Pack,$3.20,$1.60 / 1EA
Raspberries 125g Punnet,$3.50,$28.00 / 1KG
Woolworths Washed Potatoes Bag 2kg,$7.90,$3.95 / 1KG
Woolworths Asparagus Green Bunch Each,$1.50,$1.50 / 1EA
Corn Sweet Each,$1.50,$1.50 / 1EA
Woolworths Fresh Pink Lady Apples Punnet 1kg,$4.50,$4.50 / 1KG
Fresh Packham Pear Each,$1.71,$1.71 / 1EA
Woolworths Broccolini Bunch Each,$2.50,$2.50 / 1EA
Mandarin Afourer Each,$0.59,$0.59 / 1EA
Woolworths Qukes Baby Cucumbers Punnet 250g,$3.00,$12.00 / 1KG
Zespri SunGold Kiwifruit Each,$1.29,$1.29 / 1EA
Lime Fresh Each,$1.97,$1.97 / 1EA
Lemon Fresh Each,$1.31,$1.31 / 1EA
Eat Now Hass Avocado Each,$2.50,$2.50 / 1EA
Woolworths Lettuce Gourmet Leaf Mix 170g,$4.00,$23.53 / 1KG
Naturally Sweet Pineapple Half Each,$2.45,$2.45 / 1EA
Woolworths Green Basil Fresh Herb 15g Punnet,$3.20,$2.13 / 10G
Cabbage Red Quarter Each,$2.20,$2.20 / 1EA
Woolworths Sugar Snap Peas 150g Bag,$3.90,$26.00 / 1KG
Envy Apple Each,$1.21,$1.21 / 1EA
Woolworths Mushrooms Button 200g Punnet,$4.50,$22.50 / 1KG
Woolworths Lettuce Oakleaf Green Each,$3.20,$3.20 / 1EA
Tomberry Tomatoes 125g,$3.90,$31.20 / 1KG
Just Veg. Carrot Sticks 300g,$3.30,$11.00 / 1KG
Delite Mandarin Seedless 700g Prepack,$4.50,$6.43 / 1KG
Woolworths Chives Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Woolworths Kaleslaw Kit 350g,$5.50,$15.71 / 1KG
Woolworths Brushed Potatoes Bag 4kg,$9.00,$2.25 / 1KG
Woolworths Greek Salad Kit 270g,$5.50,$20.37 / 1KG
Macro Organic Carrots 750g,$3.90,$5.20 / 1KG
Select Gourmet Tomatoes 480g Punnet,$5.90,$12.29 / 1KG
Woolworths Potato Mini Microwavable White Bag 500g,$2.90,$5.80 / 1KG
Premium Strawberries 350g Punnet,$5.50,$15.71 / 1KG
Just Veg. Carrot Shred 300g,$3.30,$11.00 / 1KG
Woolworths Truss Cocktail Tomato Punnet 250g,$4.00,$16.00 / 1KG
Mushroom Portobello Flat Large MIN. 200G,$13.50,$13.50 / 1KG
Woolworths Celery Heart Each,$4.00,$4.00 / 1EA
Woolworths Thyme Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Woolworths Lettuce Gourmet Leaf Mix 170g,$4.00,$23.53 / 1KG
Naturally Sweet Pineapple Half Each,$2.45,$2.45 / 1EA
Woolworths Green Basil Fresh Herb 15g Punnet,$3.20,$2.13 / 10G
Cabbage Red Quarter Each,$2.20,$2.20 / 1EA
Woolworths Sugar Snap Peas 150g Bag,$3.90,$26.00 / 1KG
Envy Apple Each,$1.21,$1.21 / 1EA
Pumpkin Butternut Whole Each,$7.35,$7.35 / 1EA
Apple Red Delicious Each,$0.96,$0.96 / 1EA
Grapefruit Red Flesh Each,$1.49,$1.49 / 1EA
Woolworths Swiss Brown Mushrooms Punnet 200g,$5.50,$27.50 / 1KG
View similar,OUT OF STOCK,Parsnip Fresh Each
Woolworths 3 Colour Traffic Light Capsicums 3 Pack,$7.90,$2.63 / 1EA
Woolworths Brussels Sprouts PER KG,$14.50,$14.50 / 1KG
Woolworths Chicken Caesar Salad Bowl 180g,$6.50,$43.33 / 1KG
View similar,OUT OF STOCK,Jazz Apple Snackers 1kg Punnet
Woolworths Rosemary Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Woolworths Tomato Grape 200g Punnet,$3.20,$16.00 / 1KG
View similar,IN-STORE ONLY,Strawberry Organic 250g Punnet
$16.67 / 1KG,EVERYDAY LOW PRICE,$2.00
Macro Organic Celery Sticks 250g,$3.90,$15.60 / 1KG
Woolworths Sweet Potato Mini Gold Prepacked 300g,$2.70,$9.00 / 1KG
Sungold Kiwifruit Punnet 500g,$6.20,$12.40 / 1KG
Fresh Green Nashi Pear Each,$2.14,$2.14 / 1EA
Woolworths Baby Leaf With Beetroot & Carrot 180g,$4.00,$22.22 / 1KG
The Odd Bunch Lemons 750g,$4.50,$6.00 / 1KG
Woolworths Beanette Pre Pack 400g Punnet,$3.90,$9.75 / 1KG
Lemon 500g Per Pack,$5.50,$11.00 / 1KG
Macro Certified Organic Baby Spinach 100g,$4.50,$45.00 / 1KG
Woolworths Diced Pumpkin & Sweet Potato 500g,$5.00,$10.00 / 1KG
Select Lettuce Baby Cos Each,$3.20,$3.20 / 1EA
Woolworths Little Gem Lettuce Green 2 Pack,$4.50,$4.50 / 1EA
Medjool Dates Punnet 450g,$12.50,$27.78 / 1KG
Silverbeet Fresh Bunch Each,$4.70,$4.70 / 1EA
View similar,OUT OF STOCK,Orange Navel 5 Pack
Woolworths Thai Salad Kit 315g,$5.50,$17.46 / 1KG
Fresh Fennel Each,$3.50,$3.50 / 1EA
Aussie Sprouts Alfalfa Sprouts 125g Punnet,$2.50,$20.00 / 1KG
Woolworths Whole Fresh Beetroot 250g,$3.00,$12.00 / 1KG
Woolworths American Style Slaw Kit 450g,$4.50,$10.00 / 1KG
Woolworths Sweet Baby Vine Capsicum 175g,$4.90,$28.00 / 1KG
Woolworths Baby Buk Choy Asian Greens Each,$2.90,$2.90 / 1EA
Woolworths Classic Coleslaw Kit 500g,$4.50,$9.00 / 1KG
Woolworths Washed & Ready To Cook Pumpkin Cubes 500g,$5.00,$10.00 / 1KG
Woolworths Mashing Potatoes Bag 1.5kg,$7.00,$4.67 / 1KG
2 FOR $7.00 - $4.38/10G,$4.00,$5.00 / 10G
Woolworths Baby Red Washed Potato 1kg Bag,$4.00,$4.00 / 1KG
Macro Dutch Cream Organic Potato 1kg Punnet,$4.90,$4.90 / 1KG
Woolworths Green Goodness Salad Bowl 240g,$6.50,$27.08 / 1KG
Whole Pumpkin Kent Each,$12.74,$12.74 / 1EA
Woolworths Caesar Salad Kit Entertainer Pack 500g,$7.50,$15.00 / 1KG
Macro Organic Royal Gala Apple Punnet 1kg,$6.50,$6.50 / 1KG
Woolworths Caesar Salad Bowl 200g,$5.50,$27.50 / 1KG
Woolworths Baby Spinach & Rocket 60g,$2.00,$33.33 / 1KG
Honeydew Large Half Each,$3.45,$3.45 / 1EA
Macro Pink Lady Apple Organic 1kg Punnet,$7.50,$7.50 / 1KG
Woolworths Lebanese Cucumber 500g Pack,$3.90,$7.80 / 1KG
Woolworths Portobello Flat Mushrooms Punnet 375g,$8.50,$22.67 / 1KG
Woolworths Cranberry & Kaleslaw Kit 350g,$5.50,$15.71 / 1KG
View similar,OUT OF STOCK,Select Asparagus Mini Each
View similar,OUT OF STOCK,Woolworths Brussel Sprouts Prepack 500g Punnet
View similar,OUT OF STOCK,Macro Organic Broccoli 500g
View similar,OUT OF STOCK,Perfection Romatherapy Baby Roma Tomato 250g Punnet
Passionfruit Fresh Each,$1.90,$1.90 / 1EA
Avofresh Classic Avocado Guacamole 160g,$5.50,$3.44 / 100G
View similar,OUT OF STOCK,Woolworths Baby Brussels Sprouts 300g Punnet
Woolworths Mushrooms Swiss Brown Sliced 200g Punnet,$5.50,$27.50 / 1KG
Woolworths Caesar Salad Kit Tub 250g,$6.50,$26.00 / 1KG
Woolworths Rainbow Coleslaw 300g,$3.00,$10.00 / 1KG
2 FOR $7.00 - $4.38/10G,$4.00,$5.00 / 10G
Woolworths Baby Red Washed Potato 1kg Bag,$4.00,$4.00 / 1KG
Macro Dutch Cream Organic Potato 1kg Punnet,$4.90,$4.90 / 1KG
Avofresh Avocado Hint Of Lemon Tube 160g,$5.50,$3.44 / 100G
Select Lettuce Oakleaf Combo Each,$3.20,$3.20 / 1EA
$5.80 - $9.20 / 1KG,SAVE $1.20,$4.60
Orange Blood 1kg Bag,$3.90,$3.90 / 1KG
Woolworths Cook Roast Mixed Vegetables With Garlic & Rosemary 500g,$5.50,$11.00 / 1KG
Swedes Fresh Each,$1.61,$1.61 / 1EA
Woolworths Washed & Ready To Cook Broccoli Florets 150g,$2.00,$13.33 / 1KG
Macro Fresh Celery Heart Organic Each,$5.90,$5.90 / 1EA
2 FOR $7.00 - $0.44/10G,$4.00,$0.50 / 10G
Perfection Kumato Tomato Punnet 300g,$4.90,$16.33 / 1KG
Woolworths Asian Salad Bowl 230g,$5.50,$23.91 / 1KG
Woolworths Cook Potato Baby Herb & Butter 400g,$5.00,$12.50 / 1KG
Woolworths Beetroot & Feta Salad Kit 270g,$6.50,$24.07 / 1KG
Woolworths Honey Mustard Salad Kit 285g,$5.50,$19.30 / 1KG
Macro Organic Ginger Punnet 150g,$6.50,$43.33 / 1KG
The Odd Bunch Crazy Carrots 5kg,$6.80,$1.36 / 1KG
Macro Organic Herb Coriander Bunch Each,$4.50,$4.50 / 1EA
Add to cart,OUT OF STOCK,Woolworths Sage Fresh Herb 10g Punnet
Macro Organic Coleslaw & Kale Slaw Kit 250g,$4.90,$19.60 / 1KG
Just Veg. Carrot Sticks 150g,$2.00,$13.33 / 1KG
Woolworths Kaffir Lime Leaf Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Macro Certified Organic Salad Mix 100g,$3.80,$38.00 / 1KG
Georgina Premium White Wash Potatoes Bag 1.5kg,$7.00,$4.67 / 1KG
Leek Twin Pack 2 Pack,$5.50,$5.50 / 1EA
Woolworths Washed & Ready To Cook Broccoli & Cauliflower Florets 150g,$2.00,$13.33 / 1KG
Pumpkin Jarrahdale Grey Cut Each,$4.90,$4.90 / 1EA
2 FOR $7.00 - $4.38/10G,$4.00,$5.00 / 10G
Orange Blood 1kg Bag,$3.90,$3.90 / 1KG
Woolworths Cook Roast Mixed Vegetables With Garlic & Rosemary 500g,$5.50,$11.00 / 1KG
Swedes Fresh Each,$1.61,$1.61 / 1EA
Macro Wholefoods Market Organic Australian Mini Cucumbers 200g,$4.90,$24.50 / 1KG
Macro Gourmet Organic 400g Punnet,$7.50,$18.75 / 1KG
Woolworths Four Seasons Coleslaw 400g,$4.50,$11.25 / 1KG
Fresh Corella Pear Each,$1.58,$1.58 / 1EA
Galiko All Natural Garlic Minced Jar 145g,$3.00,$0.21 / 10G
Woolworths Red Cayenne Chilli (Medium) 50g Punnet,$3.90,$78.00 / 1KG
Woolworths Korean Style Salad Kit 400g,$5.50,$13.75 / 1KG
View similar,OUT OF STOCK,Woolworths Carrot Dutch Bunch Each
Perfection Chinese Wombok Baby Whole Each,$3.90,$3.90 / 1EA
Calypso Mango Each,$3.50,$3.50 / 1EA
Woolworths Smokey Bbq Slaw Kit 450g,$4.50,$10.00 / 1KG
Papaya Red Cut Half Each,$1.95,$1.95 / 1EA
Macro Onion Spring Organic Each,$4.90,$4.90 / 1EA
View similar,OUT OF STOCK,The Odd Bunch Apple Prepacked 2kg
Woolworths Asian Salad Kit Tub 250g,$6.50,$26.00 / 1KG
Woolworths Garden Salad Bowl 180g,$5.50,$30.56 / 1KG
Galiko All Natural Ginger Minced Jar 145g,$3.00,$0.21 / 10G
Bravo Apple Punnet 750G,$5.60,$7.47 / 1KG
Woolworths Chicken Buffalo Salad Bowl 180g,$6.50,$36.11 / 1KG
2 FOR $7.00 - $8.75/10G,$4.00,$10.00 / 10G
Macro Organic Kale Each,$5.90,$5.90 / 1EA
Macro Organic Beetroot 250g,$4.80,$19.20 / 1KG
View similar,OUT OF STOCK,Potato Kipfler Brushed Each
2 FOR $7.00 - $0.44/10G,$4.00,$0.50 / 10G
Pitted Medjool Dates Punnet 340g,$12.50,$36.76 / 1KG
Woolworths Oregano Fresh Herb 10g Punnet,$3.20,$3.20 / 10G
Birch & Waite Belgian Chocolate Dessert Sauce 130g,$3.30,$25.38 / 1KG
Woolworths Yellow Squash 250g Punnet,$5.90,$23.60 / 1KG
2 FOR $7.00 - $7.00/10G,$4.00,$8.00 / 10G
Macro Organic Wild Rocket 100g,$4.50,$45.00 / 1KG
View similar,IN-STORE ONLY,Macro Fresh Cauliflower Half Organic Each
Melonball Each,$4.90,$4.90 / 1EA
Macro Organic Gourmet Salad Mix 100g,$4.00,$40.00 / 1KG
Woolworths Sweet Potato Mash 475g,$7.00,$1.47 / 100G
Aussie Sprouts Pea Shoots 100g Pack,$3.50,$35.00 / 1KG
Woolworths White Flat Mushrooms Punnet 375g,$7.00,$18.67 / 1KG
Woolworths Mexican Style Salad Bowl Ready To Eat 220g,$5.50,$25.00 / 1KG
View similar,IN-STORE ONLY,Macro Mini Organic Apple 1kg
Fresh Brown Nashi Pear Each,$2.14,$2.14 / 1EA
Rhubarb Fresh Bunch,$6.20,$6.20 / 1EA
Woolworths Simply Steam Zucchini Spaghetti 250g,$3.00,$1.20 / 100G
Bravo Apple Punnet 750G,$5.60,$7.47 / 1KG
Woolworths Chicken Buffalo Salad Bowl 180g,$6.50,$36.11 / 1KG
2 FOR $7.00 - $8.75/10G,$4.00,$10.00 / 10G
Macro Organic Kale Each,$5.90,$5.90 / 1EA
The Odd Bunch Lime Prepacked 500g,$8.70,$17.40 / 1KG
View similar,IN-STORE ONLY,Macro Orange Navel Organic 1.5kg Bag
Macro Organic Corn Cobettes Pre-Pack 425g,$6.50,$15.29 / 1KG
Macro Organic Lebanese Cucumber 350g,$4.40,$12.57 / 1KG
Organic Pumpkin Butternut Each,$5.90,$5.90 / 1EA
Woolworths Organic Tomato Truss 500g,$7.90,$15.80 / 1KG
View similar,IN-STORE ONLY,Macro Organic Herb Parsley Bunch Each
Woolworths Roasted Garlic Mash 475g,$7.00,$1.47 / 100G
2 FOR $7.00 - $0.44/10G,$4.00,$0.50 / 10G
Woolworths Cobb Salad Bowl 240g,$6.50,$27.08 / 1KG
Woolworths Little Gem Lettuce Combo 2 Pack,$4.50,$4.50 / 1EA
Woolworths Mushrooms Shiitake 100g Punnet,$6.90,$69.00 / 1KG
View similar,IN-STORE ONLY,Macro Organic Mini Capsicum Each
2 FOR $8.00,$4.50,$22.50 / 1KG
Woolworths Washed & Ready To Cook Cauliflower Florets 150g,$2.00,$13.33 / 1KG
Cabbage Red Whole Each,$8.80,$8.80 / 1EA
2 FOR $7.00 - $0.44/10G,$4.00,$0.50 / 10G
Mandarin Amorette 750g,$4.50,$6.43 / 1KG
Mango r2e2 Each,$2.90,$2.90 / 1EA
Macro Fresh Cabbage Organic Green Half Each,$6.50,$6.50 / 1EA
Macro Organic Beetroot Punnet 500g,$6.50,$13.00 / 1KG
View similar,OUT OF STOCK,Macro Organic Sweet Potato 500g
Woolworths Cook Cauliflower Broccoli & Carrot With Herb Butter 200g,$5.00,$25.00 / 1KG
Woolworths Bay Leaf Fresh Herb 10g,$3.20,$3.20 / 10G
Woolworths COOK Stir Fry Mix Asian Style Vegetables 400g,$5.00,$12.50 / 1KG
Woolworths Washed & Ready To Cook Vegetable Medley 150g,$2.30,$15.33 / 1KG
Envy Apple 1kg Punnet,$6.90,$6.90 / 1KG
2 FOR $7.00 - $4.38/10G,$4.00,$5.00 / 10G
View similar,OUT OF STOCK,Perfection Kumato Grape Tomato 200g Punnet
Broccolini & Green Beans With Toasted Almond Flake 170g,$5.00,$29.41 / 1KG
Woolworths Gourmet Baby Kale Leaf Mix 170g,$4.00,$23.53 / 1KG
Golden Palm Medjool Dates Roll With Coconut Punnet 225g,$9.50,$42.22 / 1KG
Woolworths Mushrooms Oyster 150g Punnet,$6.90,$46.00 / 1KG
"Woolworths Carrot, Corn & Beans 350g",$5.00,$14.29 / 1KG
Woolworths Organic Mushroom Cup 180g,$6.00,$33.33 / 1KG
Woolworths Cook Simmer Veggie Mix 400g,$4.50,$11.25 / 1KG
View similar,OUT OF STOCK,Macro Organic Snow Peas 125g Pack
Macro Organic Sweet Corn 400g,$6.00,$15.00 / 1KG
Woolworths Carrot Broccoli & Cauliflower Mix 750g,$6.75,$9.00 / 1KG
2 FOR $8.00,$4.50,$22.50 / 1KG
Honey Sea Salt Carrots With Broccolini 180g,$5.00,$27.78 / 1KG
Mandarin Amorette 750g,$4.50,$6.43 / 1KG
Mango r2e2 Each,$2.90,$2.90 / 1EA
Macro Fresh Cabbage Organic Green Half Each,$6.50,$6.50 / 1EA
Macro Organic Beetroot Punnet 500g,$6.50,$13.00 / 1KG
View similar,OUT OF STOCK,Passionfruit Panama Each
View similar,EST. RESTOCK 13/11/24,Woolworths COOK Soup Kit Chicken Flavoured Veg 450g
Woolworths Fruit Platter 400g,$6.50,$16.25 / 1KG
Coco Q Green Drinking Coconut Each,$4.50,$4.50 / 1EA
Macro Prepack Mandarin 750g,$6.90,$9.20 / 1KG
Woolworths Cook Mixed Green Vegetables & Edamame 225g,$5.00,$22.22 / 1KG
Woolworths Habanero Chilli Hot 35g Punnet,$3.90,$111.43 / 1KG
Crumbed Parmesan Potatoes 500g,$5.50,$11.00 / 1KG
Woolworths Green Cayenne Chilli (Mild) 50g Punnet,$3.90,$78.00 / 1KG
Organic Pak Choy Baby Each,$4.90,$4.90 / 1EA
Macro Organic Silverbeet Rainbow Each,$5.50,$5.50 / 1EA
Cabbage Sugarloaf Whole Each,$3.80,$3.80 / 1EA
Woolworths Jalapeno Chilli (Medium) 80g Punnet,$3.90,$48.75 / 1KG
Black Seedless Grapes Each,$14.16,$14.16 / 1EA
2 FOR $7.00 - $0.44/10G,$4.00,$0.50 / 10G
View similar,IN-STORE ONLY,Melon De Sapo Each
Fresh Chokoes Each,$2.85,$2.85 / 1EA
View similar,OUT OF STOCK,Happy Chop Tearless Brown Onions 500g
Pumpkin Jarrahdale Whole Each,$14.70,$14.70 / 1EA
Woolworths Washed & Ready To Cook Mixed Rainbow Vegetables 750g,$7.50,$10.00 / 1KG
2 FOR $8.00,$4.50,$22.50 / 1KG
$1.60 / 100G,EVERYDAY LOW PRICE,$6.00
$3.53 / 1KG,EVERYDAY LOW PRICE,$1.50
The Happy Snack Company Roasted Fava Beans Lightly Salted 6 Pack,$6.00,$4.00 / 100G
$3.00 / 100G,LOWER SHELF PRICE,$6.00
