Data
$6.90,$6.90 / 1KG,Beans Round Per Kg,Add to cart,Save to list
$3.20,$3.20 / 1EA,Woolworths Fresh Continental Parsley Bunch,Add to cart,Save to list
$1.06,$1.06 / 1EA,Banana Red Tipped Each,Add to cart,Save to list
$5.90,$11.80 / 1KG,The Odd Bunch Strawberries Punnet 500g,Add to cart,Save to list
$0.60,$0.60 / 1EA,Woolworths Red Cayenne Chilli (Medium) Each,Add to cart,Save to list
$6.00,$4.00 / 1KG,Spud Lite Prepack Potato 1.5kg,Add to cart,Save to list
$3.00,$0.60 / 1EA,Woolworths Fresh Food Kids Mini Apples 5 Pack,Add to cart,Save to list
$5.50,$18.33 / 1KG,Sweetest Batch® Premium Strawberries 300g Punnet,Add to cart,Save to list
$4.90,$39.20 / 1KG,Blackberries Punnet 125g,Add to cart,Save to list
$1.80,$3.60 / 1KG,Woolworths Baby Carrots 500g,Add to cart,Save to list
$3.20,$3.20 / 1EA,Woolworths Fresh Continental Parsley Bunch,Add to cart,Save to list
$3.00,$10.00 / 1KG,Woolworths Finely Shredded Coleslaw 300g,Add to cart,Save to list
EST. RESTOCK 05/03/25,Woolworths Gourmet Tomatoes Punnet 1kg,View similar,products,             to Woolworths Gourmet Tomatoes Punnet 1kg,Save to list
LOWER AUTUMN PRICE,$2.50,$20.83 / 1KG,WAS $3 - 25/02/2025,Woolworths Baby Spinach & Rocket 120g,Add to cart,Save to list
$2.90,$2.90 / 1EA,Leek Fresh Each,Add to cart,Save to list
$3.50,$3.50 / 1EA,Woolworths Lettuce Oakleaf Green Each,Add to cart,Save to list
$7.50,$16.67 / 1KG,Strawberries 450g Punnet,Add to cart,Save to list
$3.00,$10.00 / 1KG,Woolworths Finely Shredded Coleslaw 300g,Add to cart,Save to list
EST. RESTOCK 05/03/25,Woolworths Gourmet Tomatoes Punnet 1kg,View similar,products,             to Woolworths Gourmet Tomatoes Punnet 1kg,Save to list
LOWER AUTUMN PRICE,$2.50,$20.83 / 1KG,WAS $3 - 25/02/2025,Woolworths Baby Spinach & Rocket 120g,Add to cart,Save to list
$5.50,$15.71 / 1KG,Woolworths Asian Style Salad Kit 350g,Add to cart,Save to list
$8.90,$1.78 / 1EA,Woolworths Orange Navel 5 Pack,Add to cart,Save to list
$5.00,$16.67 / 1KG,Woolworths Baby Leaf Mix With Carrot 300g,Add to cart,Save to list
$3.00,$24.00 / 1KG,Tomberry Tomatoes 125g,Add to cart,Save to list
SAVE $4.00,$20.00,$24.00 - $20.00 / 1KG,Fresh Medjool Dates Loose Per Kg,Add to cart,Save to list
OUT OF STOCK,Beetroot Loose Each,View similar,products,             to Beetroot Loose Each,Save to list
$13.50,$13.50 / 1KG,Mushrooms Flat Large MIN. 350G,Add to cart,Save to list
$5.50,$15.71 / 1KG,Woolworths Asian Style Salad Kit 350g,Add to cart,Save to list
$2.75,$2.75 / 1EA,Naturally Sweet Pineapple Half Each,Add to cart,Save to list
$5.50,$11.46 / 1KG,Select Gourmet Tomatoes 480g Punnet,Add to cart,Save to list
$4.50,$22.50 / 1KG,Woolworths Mushrooms Button 200g Punnet,Add to cart,Save to list
$3.20,$2.13 / 10G,Woolworths Dill Fresh Herb 15g,Add to cart,Save to list
$4.00,$23.53 / 1KG,Woolworths Lettuce Gourmet Leaf Mix 170g,Add to cart,Save to list
$3.90,$7.80 / 1KG,Woolworths Corn Sweet 500g Pack,Add to cart,Save to list
$9.90,$1.24 / 1EA,Woolworths Kiwi Fruit Green 8 Pack,Add to cart,Save to list
$4.40,$5.87 / 1KG,Macro Organic Carrots 750g,Add to cart,Save to list
IN-STORE ONLY,Woolworths Sweet Potato Mini Gold Prepacked 300g,View similar,products,             to Woolworths Sweet Potato Mini Gold Prepacked 300g,Save to list
$3.20,$3.20 / 10G,Woolworths Thyme Fresh Herb 10g Punnet,Add to cart,Save to list
$5.00,$10.00 / 1KG,Woolworths Diced Pumpkin & Sweet Potato 500g,Add to cart,Save to list
OUT OF STOCK,The Odd Bunch Lebanese Cucumber Punnet 750g,View similar,products,             to The Odd Bunch Lebanese Cucumber Punnet 750g,Save to list
EVERYDAY LOW PRICE,$2.00,$16.67 / 1KG,Woolworths Leafy Mix Salad 120g,Add to cart,Save to list
$5.00,$28.57 / 1KG,Woolworths Sweet Baby Vine Capsicum 175g,Add to cart,Save to list
$5.00,$3.33 / 1KG,Woolworths Lower Carb Potatoes 1.5kg,Add to cart,Save to list
