Product Name,Price,Price per Unit
Sanpellegrino Natural Mineral Water 750ml,$3.25,$4.33 / 1L
Schweppes Solo Lemon Cans 375ml X10 Pack,$8.25,$2.20 / 1L
V8 Power Blend Juice Healthy Greens 1.25l,$6.00,$4.80 / 1L
Twinings Camomile Honey & Vanilla Tea Bags 10 Pack 15g,$3.00,$0.30 / 1EA
Twinings Pure Peppermint Tea Bags 10 Pack,$3.00,$0.30 / 1EA
Woolworths Free From Lactose Full Cream Milk 1l,$2.00,$2.00 / 1L
Twinings English Breakfast Extra Strong Tea Bags 80 Pack,$13.50,$0.17 / 1EA
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 24 Pack,$22.00,$2.44 / 1L
Coca - Cola Zero Sugar Soft Drink Multipack Cans 24 X 375ml,$22.00,$2.44 / 1L
Pepsi Max Cans 30x375ml,$26.00,$2.31 / 1L
Frantelle Still Spring Water 24x600ml,$13.50,$0.94 / 1L
Nestle Sweetened Condensed Milk 395g,$2.50,$0.63 / 100G
Nestle Milo Malted Drinking Chocolate 460g,$6.50,$1.41 / 100G
Coca - Cola Classic  Soft Drink Bottle 2l,$3.65,$1.83 / 1L
Sanitarium So Good Long Life Unsweetened Almond Milk 1l,$2.00,$2.00 / 1L
Mount Franklin Lightly Sparkling Water Lime Bottle 1.25l,$2.85,$2.28 / 1L
Schweppes Indian Tonic Water Zero Sugar 4 X300ml,$5.00,$4.17 / 1L
Lipton Quality Black Tea Bags 100 Pack,$5.80,$0.06 / 1EA
Sprite Zero Sugar Lemonade Soft Drink Multipack Cans 375ml X10 Pack,$16.10,$4.29 / 1L
Schweppes Natural Mineral Water Natural 1.1l,$1.65,$1.50 / 1L
Sanitarium So Good Long Life Regular Soy Milk 1l,$2.20,$2.20 / 1L
Schweppes Natural Mineral Water Orange & Mango 1.1l,$2.80,$2.55 / 1L
Tetley Tea Bags 100 Pack,$3.80,$0.04 / 1EA
Woolworths Lightly Sparkling Lime Water 1.25l,$1.60,$1.28 / 1L
Twinings English Breakfast Tea Bags 10 Pack,$3.00,$0.30 / 1EA
Fever-tree Premium Indian Tonic Water Bottles 200ml X 4 Pack,$7.00,$8.75 / 1L
Fever-tree Meditteranean Tonic Water Bottles 500ml,$4.50,$9.00 / 1L
V8 Pineapple Passion Juice Juice 1.25l,$5.50,$4.40 / 1L
"Twinings Strawberry, Raspberry & Loganberry Tea Bags 10 Pack",$3.00,$0.30 / 1EA
Starbucks By Nespresso House Blend Coffee Pods Capsules 10 Pack,$5.90,$0.59 / 1EA
Mount Franklin Lightly Sparkling Water Pasionfruit Multipack Cans 375ml X10 Pack,$16.10,$4.29 / 1L
Twinings Lemon & Ginger Tea Bags 10 Pack 15g,$3.00,$0.30 / 1EA
Sanpellegrino Natural Mineral Water 750ml,$3.25,$4.33 / 1L
Schweppes Solo Lemon Cans 375ml X10 Pack,$8.25,$2.20 / 1L
V8 Power Blend Juice Healthy Greens 1.25l,$6.00,$4.80 / 1L
Twinings Camomile Honey & Vanilla Tea Bags 10 Pack 15g,$3.00,$0.30 / 1EA
Twinings Pure Peppermint Tea Bags 10 Pack,$3.00,$0.30 / 1EA
Woolworths Free From Lactose Full Cream Milk 1l,$2.00,$2.00 / 1L
