Product Name, Price, Price per Unit
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Kanzi Apple Each,$0.86,$0.86 / 1EA
Woolworths Lettuce Butter 170g,$4.00,$23.53 / 1KG
Eggplant Fresh Each,$3.17,$3.17 / 1EA
Woolworths Carrot Mini 500g,$1.20,$2.40 / 1KG
Woolworths Corn Sweet 500g Pack,$4.90,$9.80 / 1KG
Woolworths Mixed Vegetables Soup Starter With Celery 1kg Punnet,$4.90,$4.90 / 1KG
The Salad Servers Turmeric Cauliflower & Cranberry Salad 300g,$6.95,$2.32 / 100G
Loose Garlic Imported Each,$1.35,$1.35 / 1EA
Woolworths Brown Onions Bag 2kg,$4.00,$2.00 / 1KG
Woolworths Fresh Granny Smith Apples Punnet 1kg,$4.90,$4.90 / 1KG
Woolworths Brushed Potatoes Bag 4kg,$7.00,$1.75 / 1KG
Buk Choy Asian Greens Each,$2.50,$2.50 / 1EA
Woolworths Green Cabbage Half Each,$3.95,$3.95 / 1EA
Woolworths Fresh Continental Parsley Bunch,$3.20,$3.20 / 1EA
Woolworths Green Basil Bunch,$3.20,$3.20 / 1EA
Sumo Citrus Each,$2.21,$2.21 / 1EA
Woolworths Red Washed Potatoes Bag 2kg,$7.50,$3.75 / 1KG
Just Veg. Carrot Sticks 300g,$3.30,$11.00 / 1KG
Perfection Kumato Grape Tomato 200g Punnet,$4.00,$20.00 / 1KG
Woolworths Family Coleslaw 500g,$4.50,$9.00 / 1KG
Parsnip Fresh Each,$1.68,$1.68 / 1EA
Aussie Sprouts Sprouts Crunch Combo 200g Punnet,$2.60,$13.00 / 1KG
Woolworths Mushrooms Cups Sliced 375g Punnet,$6.00,$16.00 / 1KG
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
