Product Name,Price,Price per Unit
Don Salami Danish 200g,$8.50,$42.50 / 1KG
Woolworths Potato & Leek Soup 300g,$3.00,$1.00 / 100G
D'orsogna Middle Bacon Per Kg,$12.00,$12.00 / 1KG
D'orsogna Deli Fresh Spicy Chorizo Salami 80g,$2.80,$35.00 / 1KG
Bertocchi Pepper Crusted Chili Soppressa Salami Sliced From The Deli Per Kg,$36.00,$36.00 / 1KG
Primo Hungarian Salami Hot 80g,$3.70,$46.25 / 1KG
Chris' Dips Tzatziki 200g,$4.50,$2.25 / 100G
Woolworths Chicken & Vegetable Soup Low Fat 300g,$3.00,$1.00 / 100G
Yumi's Zucchini & Lentil Bites 225g,$6.00,$26.67 / 1KG
Champagne Leg Ham Shaved From The Deli Per Kg,$22.00,$22.00 / 1KG
Woolworths Fresh Chicken Noodle Soup 300g,$3.00,$1.00 / 100G
Yumi's Traditional Middle Eastern Hommus Dip 1kg,$8.00,$0.80 / 100G
Woolworths Creamy Potato Salad 250g,$3.80,$1.52 / 100G
Champagne Leg Ham Shaved From The Deli Per Kg,$22.00,$22.00 / 1KG
D'orsogna Ham Leg Shaved 400g,$6.50,$16.25 / 1KG
Essentials Garlic Bread 450g,$2.30,$0.51 / 100G
D'orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,$22.50,$22.50 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Short Cut Bacon 200g,$4.30,$21.50 / 1KG
D'orsogna Middle Bacon Per Kg,$12.00,$12.00 / 1KG
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
Don Salami Pepperoni 200g,$8.50,$42.50 / 1KG
Woolworths Hotdogs 500g,$3.00,$6.00 / 1KG
Primo Speck Portion Min. 380g,$11.02,$29.00 / 1KG
Woolworths Cocktail Frankfurts 500g,$3.00,$6.00 / 1KG
D'orsogna Deli Fresh Lightly Smoked Turkey 80g,$2.80,$35.00 / 1KG
Essentials Garlic Bread 450g,$2.30,$0.51 / 100G
Don Cocktail Frankfurts From The Deli Per Kg,$9.00,$9.00 / 1KG
Primo Silverside Beef 80g,$3.70,$46.25 / 1KG
D'orsogna Ham Leg Shaved 400g,$6.50,$16.25 / 1KG
Don Strasburg Roll 500g,$7.30,$14.60 / 1KG
D'orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,$22.50,$22.50 / 1KG
Woolworths Fresh Pea & Ham Soup 300g,$3.00,$1.00 / 100G
Woolworths Creamy Pasta Salad 800g,$7.00,$0.88 / 100G
Woolworths Tabbouleh With Mixed Grain Salad 350g,$5.80,$1.66 / 100G
Don Salami Sliced Pepperoni 100g,$4.25,$42.50 / 1KG
