Product Name,Price,Price per Unit
Woolworths Aussie Beef Gluten Free Sausage Mince 500g,$6.00,$12.00 / 1KG
Woolworths Beef Eye Fillet Steak 200g - 500g,$23.40,$52.00 / 1KG
Woolworths Beef & Lamb Meatballs 400g,$8.00,$20.00 / 1KG
Woolworths Fetta & Spinach Chicken Sausages 500g,$9.00,$18.00 / 1KG
Superior Gold Salmon Smoked 180g,$18.00,$100.00 / 1KG
Woolworths Chicken Bulk Schnitzels 1.5kg,$15.50,$10.33 / 1KG
Woolworths Chicken Schnitzels 600g,$10.50,$17.50 / 1KG
D'orsogna Middle Bacon Per Kg,$12.00,$12.00 / 1KG
Just Caught Atlantic Salmon Skinless 1kg,$29.00,$29.00 / 1KG
Peppercorn Beef Sausages Extra Lean 450g,$10.00,$22.22 / 1KG
Beef Chuck Steak Medium 300g - 700g,$12.60,$18.00 / 1KG
Woolworths Beef Porterhouse Steak & Butter 400g,$18.00,$45.00 / 1KG
Woolworths Beef T Bone Steak Medium 250g - 700g,$16.50,$30.00 / 1KG
Champagne Leg Ham Shaved From The Deli Per Kg,$22.00,$22.00 / 1KG
Tassal Hot Smoked Salmon Peppercorn 150g,$13.00,$86.67 / 1KG
Woolworths Cook Marinated Lamb Steaks With Thyme Pepper & Garlic 270g,$8.50,$31.48 / 1KG
Clearly Premium Smoked Salmon 500g,$31.00,$62.00 / 1KG
Woolworths Pork Sizzle Steak 400g,$8.00,$20.00 / 1KG
Woolworths Beef Mince 1kg,$12.00,$12.00 / 1KG
Macro Chicken Tenderloins Free Range 450g - 650g,$13.00,$20.00 / 1KG
Woolworths Lamb Leg Steak 270g,$8.50,$31.48 / 1KG
Woolworths Thawed Squid Tubes Per Kg,$21.00,$21.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Fitzco Aussie Country Style Burgers Style Burger 9 Pack,$6.20,$12.40 / 1KG
Woolworths Heart Smart Extra Lean Beef Mince 500g,$10.50,$21.00 / 1KG
Woolworths Beef Scotch Fillet Steak Steak 300g,$15.00,$50.00 / 1KG
Thawed Marinara Mix Per Kg,$14.00,$14.00 / 1KG
Peppercorn Beef Burger Extra Lean 500g,$10.00,$20.00 / 1KG
Primo Speck Portion Min. 380g,$11.02,$29.00 / 1KG
Woolworths Lamb Leg Steak 540g,$16.00,$29.63 / 1KG
Don Cocktail Frankfurts From The Deli Per Kg,$9.00,$9.00 / 1KG
Woolworths Chicken Schnitzels Garlic & Herb 600g,$10.50,$17.50 / 1KG
Woolworths Salmon Portions Skin On 2 Pack,$12.00,$42.86 / 1KG
D'orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,$22.50,$22.50 / 1KG
Woolworths Cook Pork Steaks With Sweet & Smokey Bbq Glaze 250g,$8.00,$32.00 / 1KG
Gourmet Seafood Salad Chilled Premium Gourmet Per Kg,$19.50,$19.50 / 1KG
Woolworths Beef Porterhouse Steak Thick Cut 300g,$15.50,$51.67 / 1KG
Woolworths Hot Smoked Salmon Natural 150g,$8.00,$53.33 / 1KG
Woolworths Angus Beef Burgers Sea Salt & Pepper 450g,$9.00,$20.00 / 1KG
Woolworths Hot Smoked Salmon Pepper 150g,$8.00,$53.33 / 1KG
Birch & Waite Rich Tartare Seafood Sauce 250ml,$5.25,$2.10 / 100ML
Ingham's Turkey Breast Strips 400g,$8.50,$21.25 / 1KG
Woolworths Beef Stir Fry 500g,$12.00,$24.00 / 1KG
D'orsogna Plain Streaky Bacon From The Deli Per Kg,$18.00,$18.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
