Product Name,Price,Price per Unit
Alula Original Newborn 0-6 Months Infant Formula 900g,$20.00,$2.22 / 100G
Baby Mum Mum Snack Banana Rice Rusk 18 Pack,$3.85,$10.69 / 100G
Baby Bellies Organic Softcorn Banana 8g,$2.00,$25.00 / 100G
Alula Gold Follow-on 6-12 Months Formula 900g,$30.00,$3.33 / 100G
Little One's Size 5 Ultra Dry Nappies Walker 13-18kg Boys & Girls 44 Pack,$11.50,$0.26 / 1EA
Baby Mum Mum Strawberry & Beetroot Rusks 18 Pack,$3.85,$10.69 / 100G
Huggies Thick Baby Wipes 99% Purified Water 216 Pack,$14.00,$6.48 / 100EA
Baby Bellies Organic Softcorn Berry & Apple 8g,$2.00,$25.00 / 100G
Baby Mum Mum Organic Rice Rusk Sweet Potato & Carrot 18 Pack 36g,$3.85,$10.69 / 100G
"Woolworths Smiling Tums Pumpkin, Sweet Potato & Sweetcorn 6+ Months 120g",$1.00,$0.83 / 100G
Alula Original Toddler 1 Year + Milk Drink 900g,$20.00,$2.22 / 100G
Little One's Baby Wipes 480 Pack,$11.50,$2.40 / 100EA
Little One's Size 5 Ultra Dry Nappies Walker 13-18kg Boys & Girls 44 Pack,$11.50,$0.26 / 1EA
Huggies Ultra Dry Nappies Boys Size 5 (13-18kg) 64 Pack,$39.00,$0.61 / 1EA
Huggies Thick Baby Wipes Fragrance Free 400 Pack,$18.00,$4.50 / 100EA
Little One's Size 6 Ultra Dry Nappies Junior 15-25kg Boys & Girls 40 Pack,$11.50,$0.29 / 1EA
Huggies Infant Nappies Size 2 (4-8kg) 96 Pack,$39.00,$0.41 / 1EA
Huggies Ultra Dry Nappies Boys Size 4 (10-15kg) 72 Pack,$39.00,$0.54 / 1EA
Huggies Ultra Dry Nappies Girls Size 4 (10-15kg) 72 Pack,$39.00,$0.54 / 1EA
Heinz Little Kids 1 - 3 Years Fruit Salad Muesli Fingers 90g,$4.00,$4.44 / 100G
Waterwipes Soapberry Extract Baby Wipes 60 Pack,$8.00,$0.13 / 1EA
Rafferty's Garden Banana Pear & Mango Baby Food Puree Pouch 4+ Months 120g,$2.15,$1.79 / 100G
Huggies Thick Baby Wipes Cucumber & Aloe 400 Pack,$18.00,$4.50 / 100EA
Alula Gold Toddler 1 Year + Milk Drink 900g,$25.50,$2.83 / 100G
Little One's Size 4 Ultra Dry Nappies Toddler 10-15kg Boys & Girls 50 Pack,$11.50,$0.23 / 1EA
"Rafferty's Garden Baby Food Pouch Blueberries, Banana & Apple 4+ Months 120g",$2.15,$1.79 / 100G
"Rafferty's Garden Baby Food Blueberry, Banana & Apple Snack Bars 12+ Months 128g",$4.00,$3.13 / 100G
Rafferty's Garden Baby Food Pouch Pear & Prune & Nothing Else 4+ Months 120g,$2.15,$1.79 / 100G
Rafferty's Garden Baby Food Pouch Pear & Superberries 4+ Months 120g,$2.15,$1.79 / 100G
Alula Gold Junior 2 Years + Milk Drink 900g,$25.50,$2.83 / 100G
Rafferty's Garden Baby Snacks Apple & Raspberry Bars With Fruit 12+ Months 128g,$4.00,$3.13 / 100G
Tommee Tippee Closer To Nature Fast Flow Teats 2 Pack,$10.00,$5.00 / 1EA
Only Organic Strawberry Yoghurt Rice Cakes 30g,$2.50,$8.33 / 100G
Little One's Size 6 Ultra Dry Nappies Junior 15-25kg Boys & Girls 40 Pack,$11.50,$0.29 / 1EA
Ecostore Baby Soap Bar Goat's Milk & Lavender 80g,$3.00,$3.75 / 100G
"Rafferty's Garden Baby Food Pouch Sweet Potato, Carrot & Apple 4+ Months 120g",$2.15,$1.79 / 100G
Rafferty's Garden Baby Food Strawberry Yoghurt Buttons 12+ Months 28g,$6.00,$21.43 / 100G
Tooshies Eco Nappies Size 4 Toddler 36 Pack,$26.00,$0.72 / 1EA
Tooshies Eco Nappies Size 3 Crawler 44 Pack,$26.00,$0.59 / 1EA
"Rafferty's Garden Baby Food Pouch Apple, Banana & Peach Nothing Else 4+ Months 120g",$2.15,$1.79 / 100G
Tooshies Eco Nappies Size 5 Walker 32 Pack,$26.00,$0.81 / 1EA
"Rafferty's Garden Baby Food Pouch Spinach, Apple , Broccoli & Pea 4+ Months 120g",$2.15,$1.79 / 100G
Little One's Nappy Bags Odour Neutralising 200 Pack,$3.20,$1.60 / 100EA
Little One's Baby Wipes 480 Pack,$11.50,$2.40 / 100EA
Little One's Size 5 Ultra Dry Nappies Walker 13-18kg Boys & Girls 44 Pack,$11.50,$0.26 / 1EA
Huggies Ultra Dry Nappies Boys Size 5 (13-18kg) 64 Pack,$39.00,$0.61 / 1EA
Huggies Thick Baby Wipes Fragrance Free 400 Pack,$18.00,$4.50 / 100EA
Little One's Size 6 Ultra Dry Nappies Junior 15-25kg Boys & Girls 40 Pack,$11.50,$0.29 / 1EA
Huggies Infant Nappies Size 2 (4-8kg) 96 Pack,$39.00,$0.41 / 1EA
Huggies Ultra Dry Nappies Boys Size 4 (10-15kg) 72 Pack,$39.00,$0.54 / 1EA
Huggies Ultra Dry Nappies Girls Size 4 (10-15kg) 72 Pack,$39.00,$0.54 / 1EA
"Rafferty's Garden Baby Food Pouch Pumpkin, Apple & Sweetcorn 4+ Months 120g",$2.15,$1.79 / 100G
"Rafferty's Garden Baby Food Pouch Apple, Pear & Cinnamon 4+ Months 120g",$2.15,$1.79 / 100G
Curash Baby Care Simply Water Travel Baby Wipes 100 Pack,$12.00,$12.00 / 100EA
