Product Name,Price,Price per Unit
Steggles Sweet Chilli Chicken Tenders 1kg,$13.50,$13.50 / 1KG
Viennetta Streets Vanilla Ice Cream Dessert Cake 650ml,$8.00,$1.23 / 100ML
Woolworths Potato Minis 1kg,$4.90,$4.90 / 1KG
Essentials Frozen Mixed Vegetables 1kg,$2.80,$2.80 / 1KG
Woolworths Chicken Breast Sweet Chilli Tenders 400g,$4.90,$12.25 / 1KG
Woolworths Carrots Peas & Corn 1kg,$4.50,$4.50 / 1KG
Ingham's Frozen Chicken Breast Tenders Sweet Chilli 400g,$5.50,$13.75 / 1KG
Heinz Steam Fresh Vegetables Frozen Broccoli Carrot Cauliflower 450g,$4.50,$10.00 / 1KG
Weight Watchers Chicken & Mushroom Fettuccine 300g,$4.00,$1.33 / 100G
Ingham's Chicken Breast Schnitzel 400g,$10.65,$26.63 / 1KG
"Birds Eye Veggie Rice Carrot, Cauli & Broccoli 500g",$4.95,$9.90 / 1KG
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Ingham's Frozen Chicken Breast Tenders Southern Style 400g,$5.50,$13.75 / 1KG
Birds Eye Deli Roast Vegetables 600g,$7.00,$11.67 / 1KG
Birds Eye Steam Fresh Peas Beans Broccoli Corn Mix 750g,$5.50,$7.33 / 1KG
Gelativo Mango Sorbet 1l,$6.00,$0.60 / 100ML
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Weight Watchers Creamy Tuna Bake Bowl 320g,$4.00,$1.25 / 100G
Woolworths Australian Beef Microwave Sausage Roll 175g,$2.20,$1.26 / 100G
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
"Bulla Splits Multipack Raspberry, Mango & Lemon Lime 10 Pack",$8.00,$1.07 / 100ML
Patties Party Pies Frozen 12 Pack,$7.50,$1.34 / 100G
Fry's Meat Free Schnitzels With Soy & Flaxseed 320g,$6.50,$2.03 / 100G
Weis Ice Cream & Fruit Bar Macadamia Mango Cream 70ml X 4 Pack,$9.50,$3.39 / 100ML
Woolworths Prep Set Go Pumpkin Chunks 500g,$4.00,$8.00 / 1KG
Linda Mccartney's Sausage Roll Vegetarian 6 Pack,$5.50,$1.61 / 100G
"Heinz Steam Fresh Vegetables Frozen Veg Broccoli, Carrots & Peas 450g",$4.50,$10.00 / 1KG
Birds Eye Veggie Rice Broccoli & Cauli 500g,$4.95,$9.90 / 1KG
Mccain Beer Batter Steakhouse Chips 750g,$4.00,$5.33 / 1KG
Simply Wize Gluten Free Spring Rolls 228g,$6.50,$2.85 / 100G
Four'n Twenty Pies Meat 4 Pack,$8.50,$1.21 / 100G
Twisted Gluten Free Frozen Yoghurt Mini Multpack 4x120ml,$7.50,$1.56 / 100ML
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Ocean Chef Squid Salt & Pepper 360g,$6.00,$16.67 / 1KG
Splice Streets Pine Lime Ice Cream 8 Pack,$9.00,$1.65 / 100ML
Woolworths Prep Set Go Diced Frozen Onions 500g,$2.70,$5.40 / 1KG
Herbert Adams Cream Cheese & Spinach Savoury Rolls 2 Pack,$6.00,$1.58 / 100G
Tegel Take Outs Louisiana Style Burger 600g,$12.00,$20.00 / 1KG
Woolworths Broccoli & Cauliflower 500g,$3.40,$6.80 / 1KG
Woolworths Crumbed Chicken Breast Tenders 1kg,$11.00,$11.00 / 1KG
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Ruffie Rustic Foods Plant Based Chicken-ie Schnitzel Frozen Meal 350g,$8.00,$2.29 / 100G
Ocean Chef Squid Rings Panko 360g,$6.00,$16.67 / 1KG
Woolworths Brussels Sprouts 500g,$3.00,$6.00 / 1KG
Birds Eye Deli Whiting Crisp Light Batter 250g,$10.00,$40.00 / 1KG
Mccain Superfries Steak Cut 900g,$4.50,$5.00 / 1KG
Gelativo Sorbet Lemon Lime 1l,$6.00,$0.60 / 100ML
Dr. Oetker Ristorante Pizza Peperoni 310g,$9.00,$2.90 / 100G
Steggles Tempura Chicken Breast Nuggets 400g,$4.95,$12.38 / 1KG
Woolworths Broccoli Florets 500g,$3.80,$7.60 / 1KG
Marathon Puffy Dogs 600g,$6.50,$1.08 / 100G
Weis Fruito Passionfruit Pineapple & Banana Ice Cream & Fruit Bar 4 Pack,$9.50,$3.39 / 100ML
Birds Eye Veggie Rice Cauliflower 500g,$4.95,$9.90 / 1KG
Vegie Delights Plant Based Chicken-style Burgers 4 Pack,$7.00,$2.33 / 100G
Essentials Frozen Peas 1kg,$2.70,$2.70 / 1KG
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Mccain Beer Batter Chips Shoestring 750g,$4.00,$5.33 / 1KG
Woolworths Frozen Meat Pies 4 Pack,$5.50,$0.79 / 100G
Mccain Mixed Vegetables Peas Corn & Carrot 500g,$4.00,$8.00 / 1KG
Gelativo Sorbet Passionfruit 1l Tub,$6.00,$0.60 / 100ML
Mccain Peas Baby 500g,$3.90,$7.80 / 1KG
Katoomba Roti Bread 6 Pack,$4.50,$1.15 / 100G
Birds Eye Stir Fry Mix Chinese 850g,$5.50,$6.47 / 1KG
"Birds Eye Steam Fresh In Cheese Sauce Broccoli, Cauliflower & Carrot 400g",$6.50,$16.25 / 1KG
Steggles Chicken Pieces Flaming Wing Nibbles Spicy 1kg,$13.50,$13.50 / 1KG
Steggles Tempura Chicken Breast Pops 1kg,$13.50,$13.50 / 1KG
Birds Eye Deli Seasoned Chips Sea Salt & Rosemary 600g,$6.00,$10.00 / 1KG
Streets Blue Ribbon Ice Cream 2l,$7.00,$0.35 / 100ML
Bell Farms Snap Frozen Winter Veggies 1kg,$4.20,$4.20 / 1KG
Woolworths Frozen Blueberries 500g,$6.20,$12.40 / 1KG
Tegel Take Outs Nashville Style Portions 1kg,$12.00,$12.00 / 1KG
Woolworths Sliced Beans 500g,$2.80,$5.60 / 1KG
Woolworths Frozen Mixed Berries 1kg,$11.00,$11.00 / 1KG
Tegel Take Outs Louisiana Style Portions 1kg,$12.00,$12.00 / 1KG
Birds Eye Deli Seasoned Roast Potatoes Rosemary & Garlic 600g,$6.00,$10.00 / 1KG
Mccain Superfries Crinkle Cut 900g,$4.50,$5.00 / 1KG
Bulla Splits Raspberry 10 Pack,$8.00,$1.07 / 100ML
Quorn Mince 300g,$7.00,$2.33 / 100G
Woolworths Frozen Mixed Berries 500g,$6.20,$12.40 / 1KG
Birds Eye Stir Fry Mix Thai 500g,$4.50,$9.00 / 1KG
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Mccain Hash Browns Shredded 750g,$4.50,$6.00 / 1KG
Connoisseur Baked Choc Chip Cookie Chocolate Fudge 1l,$6.00,$0.60 / 100ML
Leone Vanilla Almond Sticks 6 Pack,$2.75,$0.83 / 100ML
Connoisseur Gourmet Ice Cream Crunchy Peanut Butter Salted Caramel 1l,$6.00,$0.60 / 100ML
Mccain Quick Cook Mini Smiles Crunchy 500g,$2.65,$5.30 / 1KG
Harry Hoo & Co Chicken Dim Sims 1.5kg,$4.75,$0.32 / 100G
Essentials French Fries 1kg,$3.70,$3.70 / 1KG
Bulla Creamy Classics Cones Choc Honeycomb 4 Pack,$4.50,$0.87 / 100ML
Mccain Pub Style Fries 750g,$4.80,$6.40 / 1KG
Fry's Meat Free Nuggets With Rice Protein & Chia Frozen Meal 240g,$6.50,$2.71 / 100G
I&j Wild Caught Salt & Pepper Squid Bites Lightly Crumbed 360g,$8.00,$22.22 / 1KG
Birds Eye Golden Crunch Crinkle Cut Chips 900g,$5.80,$6.44 / 1KG
Temptation Bakeries Petite Quiche 30 Pack,$10.00,$2.00 / 100G
Sealord Fish Of The Day Whiting Tempura Batter Fillets 4 Pack,$10.50,$35.00 / 1KG
Pampas Puff Pastry 10 Sheets 1.6kg,$7.30,$0.46 / 100G
Pampas Shortcrust Pastry 5 Sheets 1kg,$5.20,$0.52 / 100G
The Real Yorkshire Pudding Co. Yorkshire Puddings 6 Pack,$5.40,$30.00 / 1KG
Macro Organic Frozen Strawberries 450g,$8.80,$19.56 / 1KG
Temptation Bakeries Quiche Tasty Cheese & Bacon 2 Pack,$5.00,$1.79 / 100G
"Birds Eye Steam Fresh Baby Potatoes With Broccoli, Carrots, Peas &herbs 400g",$6.50,$16.25 / 1KG
Woolworths Choc Coated Vanilla Ice Cream Sticks 10 Pack,$3.50,$0.40 / 100ML
Temptation Bakeries Quiche Petite Lorraine 300g,$7.50,$2.50 / 100G
