Product Name,Price,Price per Unit
Arnott's Vita Weat Original Crispbreads Original 250g,$4.00,$1.60 / 100G
Twisties Chicken Snacks Party Size Bag 270g,$4.00,$1.48 / 100G
Uncle Tobys Roll-ups Rainbow Berry 6 Pack,$5.50,$5.85 / 100G
Smith's Crinkle Cut Potato Chips Salt & Vinegar 170g,$4.80,$2.82 / 100G
Arnott's Tiny Teddy Chocolate Multipack Biscuits 8 Pack,$4.50,$2.25 / 100G
Allen's Snakes Alive Jelly Lolly Bag 200g,$2.00,$1.00 / 100G
Smith's Crinkle Cut Potato Chips Original 170g,$4.80,$2.82 / 100G
Arnott's Shapes Nacho Cheese Cracker Biscuits 160g,$3.50,$2.19 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Lactose Free Strawberry 140g,$2.40,$1.71 / 100G
Arnott's Tim Tam Dark Chocolate Biscuits 200g,$4.50,$2.25 / 100G
Coca - Cola Classic  Soft Drink Mini Bottles 300ml X 12 Pack,$10.10,$2.81 / 1L
Sprite Zero Sugar Lemonade Soft Drink Mini Cans 250ml X 6 Pack,$5.50,$3.67 / 1L
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 10 Pack,$16.10,$4.29 / 1L
Coca - Cola Zero Sugar Soft Drink Mini Cans 6 X 250ml,$5.50,$3.67 / 1L
Arnott's Jatz Original Crackers 225g,$3.50,$1.56 / 100G
Cheezels Cheese Box 125g,$3.25,$2.60 / 100G
Arnott's Shapes Barbecue Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Shapes Chicken Crimpy Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Tim Tam Chewy Caramel Chocolate Biscuits 175g,$4.50,$2.57 / 100G
Woolworths Strawberry Creme Wafers 125g,$0.80,$0.64 / 100G
Twisties Cheese Snacks 90g,$1.35,$1.50 / 100G
Vaalia Kids Probiotic Yoghurt Pouch Lactose Free Vanilla 140g,$2.40,$1.71 / 100G
Woolworths Sunflower Seeds 200g,$1.60,$8.00 / 1KG
Smith's Crinkle Cut Chips Multipack Variety 20 Pack,$8.90,$2.34 / 100G
Sakata Rice Crackers Classic Barbecue 100g,$2.30,$2.30 / 100G
Walkers Shortbread Pure Butter 190g,$3.30,$1.74 / 100G
Doritos Medium Salsa 300g,$2.75,$0.92 / 100G
Ritz Original Crackers 227g,$3.50,$1.54 / 100G
Nestle Smarties Party Size 340g,$6.00,$1.76 / 100G
Arnott's Shapes Multipack Crackers Barbecue 8 Pack,$4.50,$2.25 / 100G
Arnott's Tim Tam White Chocolate Biscuits 165g,$4.50,$2.73 / 100G
Sakata Rice Crackers Wholegrain Original 90g,$2.30,$2.56 / 100G
Real Foods Corn Thins Original 150g,$2.00,$1.33 / 100G
Woolworths Thin Brown Rice Cakes Original 150g,$1.65,$1.10 / 100G
Arnott's Tee Vee Snacks Malt Sticks Chocolate Biscuits 175g,$4.50,$2.57 / 100G
Uncle Tobys Roll-ups Rainbow Fruit Salad 6 Pack,$5.50,$5.85 / 100G
Arnott's Shapes Multipack Crackers Mini Chicken Crimpy 8 Pack,$4.50,$2.25 / 100G
Uncle Tobys Rollups Value Pack 15 Pack,$9.00,$3.85 / 100G
Sakata Rice Crackers Cheddar Cheese 100g,$2.30,$2.30 / 100G
Woolworths Original Rice Crackers 100g,$0.90,$0.90 / 100G
Woolworths Choc Chip Minis 8 Pack 180g,$2.30,$1.28 / 100G
Arnott's Tiny Teddy Chocolate Half Coat Biscuits 200g,$2.50,$1.25 / 100G
Coca - Cola Classic  Soft Drink Mini Bottles 300ml X 12 Pack,$10.10,$2.81 / 1L
Sprite Zero Sugar Lemonade Soft Drink Mini Cans 250ml X 6 Pack,$5.50,$3.67 / 1L
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 10 Pack,$16.10,$4.29 / 1L
Coca - Cola Zero Sugar Soft Drink Mini Cans 6 X 250ml,$5.50,$3.67 / 1L
Arnott's Jatz Original Crackers 225g,$3.50,$1.56 / 100G
Cheezels Cheese Box 125g,$3.25,$2.60 / 100G
Arnott's Shapes Barbecue Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Shapes Chicken Crimpy Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Tiny Teddy Hundreds & Thousands Multipack Biscuits 8 Pack,$4.50,$2.45 / 100G
Arnott's Wagon Wheels Multipack Chocolate Biscuits 8 Pack,$4.50,$2.37 / 100G
Smith's Potato Chips Fun Mix Multipack Variety 20 Pack,$8.90,$2.37 / 100G
Smith's Crinkle Cut Chips Party Size Original 380g,$6.00,$1.58 / 100G
Uncle Tobys Roll-ups Strawberry Fun Prints 6 Pack,$5.50,$5.85 / 100G
Smith's Potato Chips Snack Mix Variety Multipack 20 Pack,$8.90,$2.25 / 100G
Arnott's Shapes Multipack Crackers Pizza 8 Pack,$4.50,$2.25 / 100G
Skittles Fruits Chewy Lollies Party Share Bag 200g,$4.00,$2.00 / 100G
Arnott's Tim Tam Murray River Salted Caramel Chocolate Biscuits 175g,$4.50,$2.57 / 100G
Smith's Crinkle Cut Potato Chips Cheese & Onion 170g,$4.80,$2.82 / 100G
Arnott's Vita Weat Cracker Multigrain Crackers 140g,$2.20,$1.57 / 100G
Cadbury Twirl Chocolate Bar 39g,$1.00,$2.56 / 100G
Toblerone Milk Chocolate Bar 50g,$1.00,$2.00 / 100G
Toblerone Milk Chocolate Bar 360g,$12.00,$3.33 / 100G
Skittles Fruits Chewy Lollies Box 45g,$1.55,$3.44 / 100G
Tyrrell's Chips Lightly Salted 165g Bag,$6.00,$3.64 / 100G
Arnott's Vita Weat Sesame Crispbreads Sesame 250g,$4.00,$1.60 / 100G
Smith's Crinkle Cut Potato Chips Barbecue 170g,$4.80,$2.82 / 100G
Woolworths Crème Wafer Minis 6 Pack,$2.90,$1.66 / 100G
Nestle Smarties Box 50g,$2.20,$4.40 / 100G
Smith's Crinkle Cut Potato Chips Chicken 170g,$4.80,$2.82 / 100G
Sunbites Cheddar & Chives Snack Crackers W/ Quinoa Share Pack 110g,$3.30,$3.00 / 100G
Tostitos Tortilla Corn Chips Lightly Salted Cantina Style 175g,$5.20,$2.97 / 100G
Smith's Crinkle Cut Potato Chips Multipack Original 6 Pack,$4.50,$3.95 / 100G
Coca - Cola Classic  Soft Drink Mini Bottles 300ml X 12 Pack,$10.10,$2.81 / 1L
Sprite Zero Sugar Lemonade Soft Drink Mini Cans 250ml X 6 Pack,$5.50,$3.67 / 1L
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 10 Pack,$16.10,$4.29 / 1L
Coca - Cola Zero Sugar Soft Drink Mini Cans 6 X 250ml,$5.50,$3.67 / 1L
Arnott's Jatz Original Crackers 225g,$3.50,$1.56 / 100G
Cheezels Cheese Box 125g,$3.25,$2.60 / 100G
Arnott's Shapes Barbecue Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Shapes Chicken Crimpy Cracker Biscuits 175g,$3.50,$2.00 / 100G
Parker's Mini Baked Pretzels Multipack (6 Pack) 135g,$4.50,$3.00 / 100G
Twisties Chicken Snacks 90g,$1.35,$1.50 / 100G
Sakata Stars Snack Sized Original Rice Crackers Multipack 7pk 7g,$3.80,$4.18 / 100G
Arnott's Wagon Wheels Original Mini Chocolate Biscuits 190g,$4.50,$2.37 / 100G
Arnott's Tee Vee Snacks Original Chocolate Biscuits 175g,$4.50,$2.57 / 100G
Woolworths Original Gluten Free Popcorn 10 Pack,$2.75,$1.38 / 100G
Sakata Rice Crackers Sour Cream And Chives 100g,$2.30,$2.30 / 100G
Arnott's Shapes Multipack Crackers Vegemite & Cheese 8 Pack,$4.50,$2.25 / 100G
Doritos Hot Salsa 300g,$2.75,$0.92 / 100G
Nestle Smarties Treat Size 11 Pack,$5.50,$3.93 / 100G
Thins Chips Original 175g,$4.70,$2.69 / 100G
Woolworths Tangy Bbq Rice Crackers 100g,$0.90,$0.90 / 100G
Skittles Fruits Chewy Lollies Party Share Bag 380g,$6.50,$1.71 / 100G
Arnott's Tina Wafer Biscuits 200g,$2.50,$1.25 / 100G
Lucky Crumbed Walnuts 125g,$3.30,$26.40 / 1KG
Lolly Go Round Round Rainbow Sour Straps 170g,$2.00,$1.18 / 100G
Infuzions Veggie Straws Sour Cream & Herb 90g,$4.30,$4.78 / 100G
Sakata Stars Snack Sized Cheese Rice Crackers Multipack 7pk 7g,$3.80,$4.18 / 100G
"Smith's Crinkle Cut Potato Chips Multipack Salt, Vinegar 6 Pack",$4.50,$3.95 / 100G
Oreo Milk Chocolate Wafer Sticks Biscuits Multipack 128g,$2.50,$1.95 / 100G
Tasty Toobs 150g,$4.00,$2.67 / 100G
Sunbites Sea Salt Snack Crackers With Quinoa Share Pack 105g,$3.30,$3.14 / 100G
The Natural Confectionery Co. Snakes Lollies 230g,$4.00,$1.74 / 100G
Zappo Grape & Strawberry Flavoured Chews 4 Pack,$2.50,$2.40 / 100G
Coca - Cola Classic  Soft Drink Mini Bottles 300ml X 12 Pack,$10.10,$2.81 / 1L
Sprite Zero Sugar Lemonade Soft Drink Mini Cans 250ml X 6 Pack,$5.50,$3.67 / 1L
Coca - Cola Classic  Soft Drink Multipack Cans 375ml X 10 Pack,$16.10,$4.29 / 1L
Coca - Cola Zero Sugar Soft Drink Mini Cans 6 X 250ml,$5.50,$3.67 / 1L
Arnott's Jatz Original Crackers 225g,$3.50,$1.56 / 100G
Cheezels Cheese Box 125g,$3.25,$2.60 / 100G
Arnott's Shapes Barbecue Cracker Biscuits 175g,$3.50,$2.00 / 100G
Arnott's Shapes Chicken Crimpy Cracker Biscuits 175g,$3.50,$2.00 / 100G
Whittaker's Block Creamy Milk 33% Cocoa 250g,$5.60,$2.24 / 100G
Arnott's Jatz Original Crackers 225g,$3.50,$1.56 / 100G
Twix Milk Chocolate Bar With Caramel Biscuit 50g,$2.20,$4.40 / 100G
Snickers Chocolate Bar Peanuts Caramel Nougat 44g,$2.20,$5.00 / 100G
Thins Chips Light & Tangy 175g,$4.70,$2.69 / 100G
